Cueanexo,id_depto,Nombre
20016300,2000,ESC. DE EDUC. MEDIA Nº 03 ANTONIO DEVOTO DE 17
20016500,2000,ANTONIO A. ZINNY
20016600,2000,CAPITAN JUAN DE SAN MARTIN Y GOMEZ
20016700,2000,JOSE ERNESTO GALLONI
20016800,2000,INSTITUTO PLATERILLO
20016900,2000,CANADA
20017000,2000,ESCUELA INFANTIL N° 04 AGUSTIN TATIN RAVELLO DE 08
20017400,2000,ESCUELA RELIGIOSA ISRAELITA ARGENTINA
20017500,2000,ESCUELA METROPOLITANA DE ALTOS ESTUDIOS
20017700,2000,JIN D DE 12 (ESC. PRIM. Nº 03 DE 12)
20017701,2000,JIN D DE 12 (ESC. PRIM. Nº 09 DE 12)
20017702,2000,JIN D DE 12 (ESC. PRIM. Nº 24 DE 12)
20017800,2000,INSTITUTO LA CANDELARIA
20018100,2000,ALTE MANUEL BLANCO ENCALADA
20018400,2000,PATRIA GRANDE
20018500,2000,PRESBISTERO PROF. VICENTE MONTES CARBALLO
20018600,2000,CAJA NACIONAL DE AHORRO Y SEGURO
20018700,2000,JIN A DE 13 (ESC. PRIM. N° 14 DE 13)
20018701,2000,JIN A DE 13 (ESC. PRIM. N° 19 DE 13)
20018702,2000,JIN A DE 13 (ESC. PRIM. N° 12 DE 13)
20018800,2000,JII N° 06 DE 09
20018900,2000,FIDEL LOPEZ
20019000,2000,COLEGIO SAN FRANCISCO JAVIER
20019200,2000,ESC. TEC. Nº 06 FERNANDO FADER DE 12
20019300,2000,SATURNINO SEGUROLA
20019400,2000,COLEGIO EYELEN
20019600,2000,EMILIO GIMENEZ ZAPIOLA
20019800,2000,INSTITUTO SCHILLER
20019900,2000,COLEGIO NUEVO PENSAR
20020100,2000,COLEGIO DEL ARCE
20020200,2000,GRAL. JUAN ANTONIO LAVALLEJA
20020300,2000,ESCUELA ARGENTINA
20020600,2000,INSTITUTO SIR THOMAS MALORY
20020700,2000,FRAY LUIS BELTRAN
20020800,2000,GAUCHOS DE GUEMES
20020900,2000,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD
20021200,2000,JII N° 05 DE 09
20021300,2000,MARCOS SASTRE
20021400,2000,CARLOS JAVIER BENIELLI
20021500,2000,INSP. GRAL ALFREDO D. ZUNDA
20021600,2000,ENRIQUE G. PARKER
20021700,2000,INST. SAN MATEO
20021800,2000,NTRA. SRA. DE LA MISERICORDIA
20021900,2000,JORGE NEWBERY
20022000,2000,JIN A DE 12 (ESC. PRIM. Nº 04 DE 12)
20022001,2000,JIN A DE 12 (ESC. PRIM. Nº 19 DE 12)
