Cueanexo_EE,Sector_niveles
20044402,jardin
20044600,jardin
20044600,primario
20044700,primario
20045500,jardin
20045500,primario
20045600,jardin
20045600,primario
20045700,jardin
20045700,primario
20046000,secundario
20046100,primario
20046200,primario
20046300,primario
20046400,jardin
20046400,primario
20046700,jardin
20046702,jardin
20046703,jardin
20046900,secundario
20047000,primario
20047200,primario
20047300,primario
20047400,primario
20047600,primario
20047700,jardin
20047800,secundario
20047900,jardin
20047900,primario
20047900,secundario
20048100,primario
20048300,secundario
20048400,primario
20048500,primario
20048600,jardin
20048600,primario
20048600,secundario
20048700,secundario
20048900,primario
20049000,primario
20049100,primario
20049200,jardin
20049300,jardin
20049300,primario
20049300,secundario
20049400,secundario
20049500,primario
20049600,jardin
20049600,primario
20049600,secundario
20049700,primario
20049900,secundario
20050000,secundario
20050200,jardin
20050200,primario
20050200,secundario
20050300,jardin
20050300,primario
20050300,secundario
20050400,primario
20050600,secundario
20050800,jardin
20050800,primario
20050800,secundario
20050900,secundario
20051100,jardin
20051100,primario
20051100,secundario
20051200,jardin
20051200,primario
20051200,secundario
20051300,jardin
20051300,primario
20051300,secundario
20051400,primario
20051600,primario
20051800,primario
20051900,primario
20052000,primario
20052100,jardin
20052100,primario
20052100,secundario
20052300,primario
20052400,primario
20052500,jardin
20052500,primario
20052700,primario
20052700,secundario
20052800,primario
20053000,primario
20053200,jardin
20053200,primario
20053300,primario
20053400,jardin
20053400,primario
20053400,secundario
20053500,jardin
20053500,primario
20053500,secundario
20053600,primario
20053600,secundario
20053602,jardin
20054000,primario
20054100,jardin
20054100,primario
20054100,secundario
20054200,jardin
20054300,secundario
20054400,primario
20054500,jardin
20054500,primario
20054600,primario
20055400,jardin
20055401,jardin
20055402,jardin
20055403,jardin
20055404,jardin
20055500,secundario
20055600,primario
20055700,primario
20055800,primario
20055900,jardin
20056000,jardin
20056000,primario
20056000,secundario
20056100,jardin
20056100,primario
20056100,secundario
20056200,jardin
20056200,primario
20056200,secundario
20056300,secundario
20056500,jardin
20056500,primario
20056500,secundario
20056600,primario
20056700,primario
20056800,secundario
20057000,primario
20057100,jardin
20057100,primario
20057100,secundario
20057200,jardin
20057200,primario
20057200,secundario
20057500,jardin
20057500,primario
20057800,primario
20057900,jardin
20057900,primario
20057900,secundario
20058000,jardin
20058001,jardin
20058100,primario
20058200,primario
20058300,secundario
20058400,primario
20058400,secundario
20058500,jardin
20058500,primario
20058800,jardin
20058800,primario
20058800,secundario
20058900,primario
20059200,primario
20059300,primario
20059400,jardin
20059400,primario
20059400,secundario
20059500,jardin
20059600,primario
20059800,primario
20059900,primario
20060000,jardin
20060000,primario
20060000,secundario
20060100,primario
20060200,secundario
20060500,jardin
20060500,primario
20060500,secundario
20060600,jardin
20060700,primario
20061100,secundario
20061200,secundario
20061300,jardin
20061300,primario
20061300,secundario
20061400,jardin
20061400,primario
20061500,primario
20061600,jardin
20061600,primario
20061600,secundario
20061700,jardin
20061701,jardin
20061703,jardin
20061704,jardin
20061800,primario
20061900,primario
20062000,jardin
20062000,primario
20062000,secundario
20062100,jardin
20062200,secundario
20062300,secundario
20062400,jardin
20062400,primario
20062400,secundario
20062800,secundario
20062900,primario
20063000,jardin
20063100,primario
20063200,jardin
20063200,primario
20063300,jardin
20063300,primario
20063300,secundario
20063500,primario
20063700,secundario
20063800,primario
20063900,jardin
20064100,jardin
20064100,primario
20064100,secundario
20064200,jardin
20064200,primario
20064300,secundario
20064400,primario
20064500,primario
20064600,primario
20064700,jardin
20064800,primario
20064900,secundario
20065000,primario
20065000,secundario
20065200,secundario
20065300,jardin
20065300,primario
20065300,secundario
20065400,primario
20065500,jardin
20065500,primario
20065500,secundario
20065600,primario
20065800,jardin
20065800,primario
20065800,secundario
20065900,primario
20066000,primario
20066100,primario
20066200,primario
20066300,jardin
20066300,primario
20066300,secundario
20066400,jardin
20066400,primario
20066400,secundario
20066600,jardin
20066700,primario
20066800,jardin
20066800,primario
20066800,secundario
20066900,primario
20067000,jardin
20067000,primario
20067200,jardin
20067200,primario
20067200,secundario
20067300,jardin
20067300,primario
20067300,secundario
20067400,jardin
20067400,primario
20067400,secundario
20067500,jardin
20067500,primario
20067500,secundario
20067600,jardin
20067600,primario
20067600,secundario
20067700,jardin
20067700,primario
20067700,secundario
20067800,primario
20068000,secundario
20068100,primario
20068300,jardin
20068300,primario
20068300,secundario
20068400,jardin
20068400,primario
20068400,secundario
20068500,jardin
20068500,primario
20068500,secundario
20068600,jardin
20068600,primario
20068600,secundario
20068700,primario
20068900,primario
20069000,jardin
20069000,primario
20069000,secundario
20069100,jardin
20069100,primario
20069100,secundario
20069400,primario
20069500,jardin
20069502,jardin
20069504,jardin
20069600,jardin
20069600,primario
20069600,secundario
20069900,jardin
20069900,primario
20069900,secundario
20070000,jardin
20070000,primario
20070000,secundario
20070100,primario
20070200,jardin
20070300,jardin
20070500,primario
20070600,jardin
20070601,jardin
20070602,jardin
20070603,jardin
20070700,primario
20070800,jardin
20070800,primario
20070800,secundario
20070900,jardin
20071000,primario
20071100,primario
20071300,jardin
20071302,jardin
20071303,jardin
20071400,primario
20071600,jardin
20071600,primario
20071600,secundario
20071700,jardin
20071700,primario
20071700,secundario
20071800,jardin
20071800,primario
20071800,secundario
20072100,jardin
20072100,primario
20072100,secundario
20072300,jardin
20072300,primario
20072300,secundario
20072400,secundario
20072600,primario
20072700,primario
20072800,jardin
20072800,primario
20072800,secundario
20072900,jardin
20072900,primario
20072900,secundario
20073000,primario
20073100,primario
20073200,secundario
20073300,jardin
20073300,primario
20073300,secundario
20073500,primario
20073600,jardin
20073600,primario
20073700,jardin
20073701,jardin
20073702,jardin
20073703,jardin
20073800,jardin
20073800,primario
20073800,secundario
20073900,jardin
20073900,primario
20073900,secundario
20074000,jardin
20074000,primario
20074000,secundario
20074100,jardin
20074100,primario
20074300,primario
20074400,secundario
20074500,primario
20074600,secundario
20074700,jardin
20074700,primario
20074700,secundario
20074800,jardin
20074800,primario
20074800,secundario
20074900,jardin
20074900,primario
20074900,secundario
20075100,primario
20075300,jardin
20075300,primario
20075300,secundario
20075500,secundario
20075600,secundario
20075700,jardin
20075800,primario
20076000,primario
20076100,primario
20076200,primario
20076300,primario
20076500,primario
20076600,jardin
20076600,primario
20076700,jardin
20076700,primario
20076700,secundario
20076800,jardin
20076800,primario
20076800,secundario
20076900,jardin
20076900,primario
20077000,secundario
20077200,primario
20077400,primario
20077500,primario
20077600,jardin
20077600,primario
20077600,secundario
20077800,primario
20077900,secundario
20078000,primario
20078100,jardin
20078100,primario
20078100,secundario
20078300,jardin
20078300,primario
20078300,secundario
20078400,primario
20078500,jardin
20078500,primario
20078500,secundario
20078600,primario
20078900,jardin
20078900,primario
20079000,jardin
20079100,primario
20079400,primario
20079700,jardin
20079900,primario
20080000,jardin
20080001,jardin
20080002,jardin
20080300,jardin
20080500,primario
20080800,secundario
20080900,primario
20081000,jardin
20081100,primario
20081300,primario
20081400,primario
20081600,jardin
20081800,primario
20082000,primario
20082200,jardin
20082200,primario
20082200,secundario
20082300,jardin
20082300,primario
20082300,secundario
20082400,primario
20082500,secundario
20082600,primario
20082800,jardin
20082800,primario
20082800,secundario
20082900,primario
20083000,primario
20083100,primario
20083200,jardin
20083200,primario
20083300,jardin
20083300,primario
20083300,secundario
20083400,jardin
20083400,primario
20083400,secundario
20083500,secundario
20083800,secundario
20083900,secundario
20084000,secundario
20084300,secundario
20084500,jardin
20084500,primario
20084500,secundario
20084600,primario
20084800,jardin
20084801,jardin
20084802,jardin
20084803,jardin
20084804,jardin
20084900,secundario
20085000,primario
20085500,jardin
20085500,primario
20085500,secundario
20085600,jardin
20085600,primario
20085900,secundario
20086000,jardin
20086000,primario
20086000,secundario
20086200,primario
20086200,secundario
20086400,primario
20086500,secundario
20086600,jardin
20086600,primario
20086600,secundario
20086700,secundario
20086800,jardin
20086800,primario
20086800,secundario
20086900,primario
20087100,secundario
20087200,jardin
20087201,jardin
20087202,jardin
20087300,jardin
20087300,primario
20087300,secundario
20087400,primario
20087500,jardin
20087500,primario
20087500,secundario
20087600,secundario
20087700,primario
20087800,primario
20087900,jardin
20087902,jardin
20087903,jardin
20088000,primario
20088100,primario
20088200,primario
20088300,secundario
20088400,primario
20088500,jardin
20088500,primario
20088500,secundario
20088600,jardin
20088600,primario
20088600,secundario
20088700,primario
20088800,primario
20088900,jardin
20089100,jardin
20089100,primario
20089200,primario
20089300,primario
20089400,primario
20089500,primario
20089501,jardin
20089502,secundario
20089600,primario
20089700,jardin
20089700,primario
20089700,secundario
20089800,primario
20089900,jardin
20089900,primario
20089900,secundario
20090100,jardin
20090200,primario
20090300,secundario
20090400,jardin
20090400,primario
20090400,secundario
20090600,primario
20090700,primario
20090900,jardin
20091000,jardin
20091000,primario
20091000,secundario
20091100,secundario
20091200,jardin
20091200,primario
20091200,secundario
20091400,jardin
20091400,primario
20091600,jardin
20091600,primario
20091800,jardin
20091800,primario
20091800,secundario
20092000,secundario
20092100,jardin
20092100,primario
20092200,jardin
20092200,primario
20092200,secundario
20092500,jardin
20092500,primario
20092500,secundario
20092600,jardin
20092600,primario
20092600,secundario
20092700,primario
20092800,primario
20092900,primario
20093000,secundario
20093001,secundario
20093100,jardin
20093101,jardin
20093102,jardin
20093103,jardin
20093104,jardin
20093105,jardin
20093200,primario
20093300,primario
20093400,primario
20093500,primario
20093600,primario
20093800,primario
20093900,secundario
20094000,jardin
20094000,primario
20094100,primario
20094200,secundario
20094300,jardin
20094300,primario
20094300,secundario
20094400,secundario
20094500,jardin
20094500,primario
20094500,secundario
20094700,primario
20094800,jardin
20094800,primario
20094900,jardin
20094900,primario
20094900,secundario
20095000,secundario
20095100,jardin
20095100,primario
20095100,secundario
20095300,jardin
20095400,jardin
20095401,jardin
20095402,jardin
20095500,jardin
20095500,primario
20095500,secundario
20095600,jardin
20095600,primario
20095600,secundario
20095700,secundario
20095800,secundario
20095900,jardin
20095900,primario
20095900,secundario
20096000,jardin
20096000,primario
20096000,secundario
20096100,primario
20096200,jardin
20096200,primario
20096600,jardin
20096600,primario
20096600,secundario
20096700,jardin
20096700,primario
20096700,secundario
20096800,jardin
20096800,primario
20096800,secundario
20097000,primario
20097100,primario
20097200,primario
20097300,secundario
20097400,jardin
20097400,primario
20097400,secundario
20097500,jardin
20097501,jardin
20097502,jardin
20097503,jardin
20097600,jardin
20097600,primario
20097600,secundario
20097700,jardin
20097700,primario
20097700,secundario
20097800,jardin
20097800,primario
20097800,secundario
20097900,primario
20098200,primario
20098300,jardin
20098300,primario
20098300,secundario
20098400,primario
20098500,secundario
20098600,secundario
20098700,primario
20098800,jardin
20098900,jardin
20098900,primario
20099000,jardin
20099000,primario
20099000,secundario
20099100,primario
20099200,jardin
20099400,primario
20099600,primario
20099700,jardin
20099700,primario
20099700,secundario
20099800,jardin
20099800,primario
20099800,secundario
20099900,jardin
20099900,primario
20099900,secundario
20100000,primario
20100100,jardin
20100400,jardin
20100400,primario
20100400,secundario
20100500,primario
20100700,primario
20100800,primario
20100900,primario
20101000,secundario
20101100,secundario
20101300,primario
20101400,primario
20102400,jardin
20102500,primario
20102600,primario
20102700,primario
20102900,jardin
20103000,primario
20103600,primario
20103800,secundario
20104000,jardin
20104000,primario
20104000,secundario
20104100,secundario
20104400,jardin
20104600,primario
20104700,primario
20104900,jardin
20104900,primario
20104900,secundario
20105000,jardin
20105001,jardin
20105002,jardin
20105003,jardin
20105100,secundario
20105200,jardin
20105200,primario
20105200,secundario
20105300,jardin
20105300,primario
20105400,jardin
20105400,primario
20105400,secundario
20105700,jardin
20105800,jardin
20105801,jardin
20105802,jardin
20105803,jardin
20105900,primario
20106200,secundario
20106800,jardin
20106800,primario
20106900,secundario
20107000,primario
20107900,secundario
20108000,primario
20108100,primario
20108200,primario
20108500,secundario
20108600,primario
20108700,primario
20108800,jardin
20108800,primario
20108800,secundario
20109000,jardin
20109100,jardin
20109100,primario
20109100,secundario
20109200,primario
20109300,primario
20109400,primario
20109500,primario
20110200,primario
20110300,primario
20111100,jardin
20111100,primario
20111100,secundario
20112200,primario
20112400,primario
20112500,primario
20112600,jardin
20112800,secundario
20113200,jardin
20113300,primario
20113400,jardin
20113400,primario
20113400,secundario
20113600,secundario
20113700,secundario
20114000,jardin
20114000,primario
20114000,secundario
20114600,primario
20114600,secundario
20114700,jardin
20114700,primario
20114700,secundario
20114800,primario
20114900,jardin
20114900,primario
20114900,secundario
20115200,primario
20115500,jardin
20115800,primario
20116000,primario
20116100,primario
20116200,secundario
20116500,jardin
20116600,primario
20116700,primario
20116800,primario
20116900,secundario
20117000,secundario
20117100,jardin
20117100,primario
20117100,secundario
20117200,primario
20117400,secundario
20117600,jardin
20117600,primario
20117600,secundario
20117700,jardin
20117700,primario
20117700,secundario
20117800,primario
20118100,jardin
20118200,secundario
20118500,primario
20118600,jardin
20118600,primario
20118600,secundario
20118700,jardin
20118700,primario
20118700,secundario
20118800,jardin
20118800,primario
20118800,secundario
20118900,primario
20119000,jardin
20119000,primario
20119000,secundario
20119100,jardin
20119100,primario
20119100,secundario
20119200,primario
20119300,jardin
20119400,jardin
20119500,jardin
20119500,primario
20119500,secundario
20119600,jardin
20119600,primario
20119600,secundario
20119700,primario
20119800,secundario
20119900,jardin
20120100,jardin
20120101,jardin
20120102,jardin
20120103,jardin
20120200,primario
20120400,jardin
20120400,primario
20120400,secundario
20120600,jardin
20120600,primario
20120600,secundario
20120800,primario
20120900,jardin
20120900,primario
20120900,secundario
20121100,jardin
20121101,jardin
20121102,jardin
20121200,primario
20121300,primario
20121400,primario
20121400,secundario
20121401,jardin
20121500,primario
20121600,secundario
20121700,jardin
20121700,primario
20121700,secundario
20121800,jardin
20121800,primario
20121800,secundario
20122000,jardin
20122000,primario
20122000,secundario
20122100,jardin
20122100,primario
20122100,secundario
20122200,secundario
20122500,jardin
20122500,primario
20122500,secundario
20122800,secundario
20122900,jardin
20122900,primario
20122900,secundario
20123000,secundario
20123100,secundario
20123200,secundario
20123300,jardin
20123300,primario
20123300,secundario
20123400,secundario
20123700,primario
20123900,jardin
20123900,primario
20123900,secundario
